address,amenities,attraction,num_avg,num_bad,num_excellent,num_good,num_poor,page_link,rating,restaurant,title,total_reviews,walking_grade
"336 E 94th St, New York City, NY 10128-4703","Non-smoking hotel,Kitchenette,Non-smoking rooms,Suites",11,0,1,1,1,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1488820-Reviews-Kore_Properties_94-New_York_City_New_York.html,3.5,118,Kore Properties - 94,3 reviews,100
"3rd Ave. bet. 28th street and 27th street, New York City, NY",,21,1,6,9,7,2,https://www.tripadvisor.com/Hotel_Review-g60763-d2109422-Reviews-Design_Dream-New_York_City_New_York.html,3.5,188,Design Dream,25 reviews,79
"17 Barrow St, New York City, NY 10014-3823","Free High Speed Internet (WiFi),Free internet,Wifi,Internet",126,0,1,1,2,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1907624-Reviews-Village_Guest_House-New_York_City_New_York.html,3.5,536,Village Guest House,4 reviews,100
"176 Lincoln Rd, New York City, NY 11225-3423",,12,0,0,4,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1811422-Reviews-Lincoln_Road_Bed_Breakfast-New_York_City_New_York.html,5.0,182,Lincoln Road Bed & Breakfast,4 reviews,92
"43 W 118th St, New York City, NY 10026-1931",,16,0,0,3,2,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1606543-Reviews-ComfortStayNYC-New_York_City_New_York.html,4.5,46,ComfortStayNYC,5 reviews,95
"307 E 14th St, New York City, NY 10003-4202",Rooftop pool,54,8,8,1,8,12,https://www.tripadvisor.com/Hotel_Review-g60763-d501626-Reviews-Jazz_on_the_Town_Hostel-New_York_City_New_York.html,2.5,359,Jazz on the Town Hostel,37 reviews,100
"112 E 116th St, New York City, NY 10029-1327",,3,1,2,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d2049257-Reviews-Uchino_Domitory-New_York_City_New_York.html,1.5,82,Uchino Domitory,3 reviews,96
"167 Crosby St, New York City, NY 10012-2709",,193,0,1,0,1,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1947936-Reviews-Soho_Bed_and_Breakfast-New_York_City_New_York.html,2.5,285,Soho Bed and Breakfast,2 reviews,100
"Seaman Avenue, New York City, NY 10034",,4,0,2,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d15631974-Reviews-Seaman_Apartment-New_York_City_New_York.html,1.0,50,Seaman Apartment,2 reviews,92
"Suite#1AW 160 Bleecker Street, New York City, NY 10012",,130,0,2,0,1,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1547031-Reviews-Signature_Properties-New_York_City_New_York.html,2.0,436,Signature Properties,3 reviews,100
"240 W 73rd St, New York City, NY 10023-2700","Fitness Center with Gym / Workout Room,Tennis court,Kitchenette,Microwave,Refrigerator,Flatscreen TV",31,45,73,24,92,31,https://www.tripadvisor.com/Hotel_Review-g60763-d307945-Reviews-Woogo_Central_Park-New_York_City_New_York.html,3.0,164,Woogo - Central Park,265 reviews,100
"306 W 94th St, New York City, NY 10025-6828",Business Center with Internet Access,10,9,11,1,17,4,https://www.tripadvisor.com/Hotel_Review-g60763-d616735-Reviews-The_Grant_Hotel-New_York_City_New_York.html,3.0,94,The Grant Hotel,42 reviews,100
"2011 3rd Ave Manhattan, New York City, NY 10029-3208",,3,11,8,1,7,4,https://www.tripadvisor.com/Hotel_Review-g60763-d7098279-Reviews-Manhattan_Hostel-New_York_City_New_York.html,2.5,92,Manhattan Hostel,31 reviews,92
"13909 89th Ave, New York City, NY 11435-3225",,3,1,0,0,1,1,https://www.tripadvisor.com/Hotel_Review-g60763-d1542383-Reviews-AAE_New_York_Hostel_Inn_Queen-New_York_City_New_York.html,3.0,134,AAE New York Hostel Inn Queen,3 reviews,70
"138-140 East 31st Street, New York City, NY 10016-6925",,39,0,0,1,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1544194-Reviews-Kore_31-New_York_City_New_York.html,5.0,400,Kore 31,1 review,100
"370 8th Ave, New York City, NY 10001-4849","Free High Speed Internet (WiFi),Free internet,Internet,Non-smoking hotel",50,10,5,10,7,5,https://www.tripadvisor.com/Hotel_Review-g60763-d9981282-Reviews-Chelsea_Pods-New_York_City_New_York.html,3.5,261,Chelsea Pods,37 reviews,100
"64 W 129th St, New York City, NY 10027-2203","Free High Speed Internet (WiFi),Free internet,Wifi,Internet,Free breakfast,Kitchenette",12,3,5,6,3,1,https://www.tripadvisor.com/Hotel_Review-g60763-d1237944-Reviews-I_Love_Dormitory-New_York_City_New_York.html,3.0,75,I Love Dormitory,18 reviews,91
"West 55th St. & 8th Avenue, New York City, NY 10019",,130,2,4,5,11,1,https://www.tripadvisor.com/Hotel_Review-g60763-d1947693-Reviews-W55NY-New_York_City_New_York.html,3.5,367,W55NY,23 reviews,100
"322 E 39th St, New York City, NY 10016-2211",,15,1,0,0,1,0,https://www.tripadvisor.com/Hotel_Review-g60763-d6591552-Reviews-322_East_39_Street_Apartments-New_York_City_New_York.html,3.5,190,322 East 39 Street Apartments,2 reviews,100
,,,0,0,2,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d11737011-Reviews-Shepherd_Guest_House-New_York_City_New_York.html,5.0,,Shepherd Guest House,2 reviews,
